S No,Development Block LGD Code,Development Block Name (In English),Development Block Name (In Local language),Hierarchy,View Details
1,3346,Barkote,,Deogarh(District) / Odisha(State),
2,3347,Reamal,,Deogarh(District) / Odisha(State),
3,3348,Tileibani,,Deogarh(District) / Odisha(State),
