S No,Development Block LGD Code,Development Block Name (In English),Development Block Name (In Local language),Hierarchy,View Details
1,3276,Anugul,,Angul(District) / Odisha(State),
2,3277,Athmallik,,Angul(District) / Odisha(State),
3,3278,Banarpal,,Angul(District) / Odisha(State),
4,3279,Chhendipada,,Angul(District) / Odisha(State),
5,3280,Kaniha,,Angul(District) / Odisha(State),
6,3281,Kishorenagar,,Angul(District) / Odisha(State),
7,3282,Palalahada,,Angul(District) / Odisha(State),
8,3283,Talacher,,Angul(District) / Odisha(State),
