S No,Development Block LGD Code,Development Block Name (In English),Development Block Name (In Local language),Hierarchy,View Details
1,3349,Bhuban,,Dhenkanal(District) / Odisha(State),
2,3350,Dhenkanal Sadar,,Dhenkanal(District) / Odisha(State),
3,3351,Gondia,,Dhenkanal(District) / Odisha(State),
4,3352,Hindol,,Dhenkanal(District) / Odisha(State),
5,3353,Kamakhyanagar,,Dhenkanal(District) / Odisha(State),
6,3354,Kankada Had,,Dhenkanal(District) / Odisha(State),
7,3355,Odapada,,Dhenkanal(District) / Odisha(State),
8,3356,Parjang,,Dhenkanal(District) / Odisha(State),
