S No,Development Block LGD Code,Development Block Name (In English),Development Block Name (In Local language),Hierarchy,View Details
1,3558,Bamra,,Sambalpur(District) / Odisha(State),
2,3559,Dhankauda,,Sambalpur(District) / Odisha(State),
3,3560,Jamankira,,Sambalpur(District) / Odisha(State),
4,3561,Jujomura,,Sambalpur(District) / Odisha(State),
5,3562,Kuchinda,,Sambalpur(District) / Odisha(State),
6,3563,Maneswar,,Sambalpur(District) / Odisha(State),
7,3564,Naktideul,,Sambalpur(District) / Odisha(State),
8,3565,Rairakhol,,Sambalpur(District) / Odisha(State),
9,3566,Rengali,,Sambalpur(District) / Odisha(State),
